relation,layer,head,accuracy_select,n_correct_select,n_total_select,accuracy_test,n_correct_test,n_total_test,accuracy_dev,n_correct_dev,n_total_dev
object_det_to_noun,24,25,0.031232254400908575,55,1761,0.027918781725888325,11,394,0.02522935779816514,11,436
object_det_to_noun,24,26,0.039182282793867124,69,1761,0.03299492385786802,13,394,0.027522935779816515,12,436
object_det_to_noun,24,27,0.16070414537194777,283,1761,0.1548223350253807,61,394,0.16743119266055045,73,436
object_det_to_noun,25,0,0.07155025553662692,126,1761,0.07614213197969544,30,394,0.07110091743119266,31,436
object_det_to_noun,25,1,0.04997160704145372,88,1761,0.050761421319796954,20,394,0.052752293577981654,23,436
object_det_to_noun,25,2,0.022146507666098807,39,1761,0.01015228426395939,4,394,0.020642201834862386,9,436
object_det_to_noun,25,3,0.019307211811470756,34,1761,0.01015228426395939,4,394,0.011467889908256881,5,436
object_det_to_noun,25,4,0.32140829074389554,566,1761,0.2893401015228426,114,394,0.30045871559633025,131,436
object_det_to_noun,25,5,0.039182282793867124,69,1761,0.03807106598984772,15,394,0.034403669724770644,15,436
object_det_to_noun,25,6,0.022714366837024418,40,1761,0.02284263959390863,9,394,0.03211009174311927,14,436
object_det_to_noun,25,7,0.039182282793867124,69,1761,0.04060913705583756,16,394,0.0389908256880734,17,436
object_det_to_noun,25,8,0.04088586030664395,72,1761,0.04314720812182741,17,394,0.0389908256880734,17,436
object_det_to_noun,25,9,0.032935831913685404,58,1761,0.025380710659898477,10,394,0.02981651376146789,13,436
object_det_to_noun,25,10,0.039182282793867124,69,1761,0.04060913705583756,16,394,0.0481651376146789,21,436
object_det_to_noun,25,11,0.0488358886996025,86,1761,0.050761421319796954,20,394,0.04357798165137615,19,436
object_det_to_noun,25,12,0.022714366837024418,40,1761,0.04060913705583756,16,394,0.016055045871559634,7,436
object_det_to_noun,25,13,0.05053946621237933,89,1761,0.050761421319796954,20,394,0.045871559633027525,20,436
object_det_to_noun,25,14,0.0028392958546280523,5,1761,0.0,0,394,0.0045871559633027525,2,436
object_det_to_noun,25,15,0.005110732538330494,9,1761,0.01015228426395939,4,394,0.006880733944954129,3,436
object_det_to_noun,25,16,0.0034071550255536627,6,1761,0.01015228426395939,4,394,0.0022935779816513763,1,436
object_det_to_noun,25,17,0.12095400340715502,213,1761,0.1218274111675127,48,394,0.1353211009174312,59,436
object_det_to_noun,25,18,0.03691084611016468,65,1761,0.04060913705583756,16,394,0.04357798165137615,19,436
